* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\AutoEq\compensation\harman_in-ear_2016.csv
* Format: Comma/Tab/Space delimited data
* Dated: 18 Dec, 2021 1:17:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\AutoEq\compensation\harman_in-ear_2016.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_in-ear_2016
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1575.000000	2.491
1600.000000	2.649
1625.000000	2.804
1650.000000	2.977
1675.000000	3.150
1700.000000	3.324
1725.000000	3.485
1750.000000	3.658
1775.000000	3.821
1800.000000	3.977
1825.000000	4.137
1850.000000	4.297
1875.000000	4.452
1900.000000	4.626
1925.000000	4.795
1950.000000	4.957
1975.000000	5.127
2000.000000	5.286
2030.000000	5.481
2060.000000	5.664
2090.000000	5.851
2120.000000	6.037
2140.000000	6.159
2180.000000	6.421
2200.000000	6.556
2240.000000	6.811
2270.000000	7.008
2300.000000	7.174
2330.000000	7.317
2360.000000	7.445
2400.000000	7.614
2430.000000	7.738
2470.000000	7.903
2500.000000	8.027
2540.000000	8.185
2580.000000	8.340
2620.000000	8.495
2650.000000	8.587
2690.000000	8.665
2720.000000	8.708
2760.000000	8.769
2800.000000	8.836
2850.000000	8.903
2900.000000	8.953
2950.000000	8.996
3000.000000	9.048
3040.000000	9.079
3070.000000	9.064
3110.000000	9.025
3150.000000	8.986
3200.000000	8.939
3250.000000	8.888
3300.000000	8.801
3350.000000	8.694
3400.000000	8.590
3450.000000	8.488
3500.000000	8.377
3550.000000	8.276
3600.000000	8.178
3650.000000	8.081
3700.000000	7.985
3750.000000	7.891
3820.000000	7.750
3870.000000	7.660
3950.000000	7.507
4000.000000	7.425
4060.000000	7.283
4120.000000	7.136
4180.000000	6.990
4250.000000	6.823
4310.000000	6.682
4370.000000	6.544
4440.000000	6.384
4500.000000	6.249
4550.000000	6.138
4620.000000	5.985
4680.000000	5.877
4750.000000	5.751
4820.000000	5.623
4870.000000	5.538
4940.000000	5.409
5000.000000	5.290
5080.000000	5.131
5150.000000	4.993
5220.000000	4.857
5300.000000	4.710
5380.000000	4.602
5450.000000	4.512
5520.000000	4.413
5600.000000	4.310
5700.000000	4.184
5800.000000	4.034
5900.000000	3.887
6000.000000	3.740
6080.000000	3.622
6150.000000	3.504
6220.000000	3.378
6300.000000	3.226
6400.000000	3.053
6500.000000	2.869
6600.000000	2.732
6700.000000	2.628
6800.000000	2.524
6900.000000	2.419
7000.000000	2.311
7100.000000	2.163
7200.000000	2.000
7300.000000	1.838
7400.000000	1.688
7500.000000	1.532
7620.000000	1.351
7750.000000	1.156
7880.000000	0.966
8000.000000	0.794
8120.000000	0.615
8250.000000	0.411
8380.000000	0.206
8500.000000	0.031
8620.000000	-0.153
8750.000000	-0.348
8850.000000	-0.497
9000.000000	-0.716
9120.000000	-0.879
