* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\Documents\crin to me.txt
* Format: Comma/Tab/Space delimited data
* Dated: 21 Feb, 2022 7:41:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\Documents\crin to me.txt Format: Comma/Tab/Space delimited data 54518 values loaded, 2 Hz to 19,967 Hz
* Measurement: crin to me
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 24.000 Hz
*
* Freq(Hz)	SPL(dB)
2000.000000	-1.038
2030.000000	-1.011
2060.000000	-0.973
2090.000000	-0.947
2120.000000	-0.916
2140.000000	-0.899
2180.000000	-0.887
2200.000000	-0.890
2240.000000	-0.872
2270.000000	-0.841
2300.000000	-0.851
2330.000000	-0.874
2360.000000	-0.882
2400.000000	-0.892
2430.000000	-0.905
2470.000000	-0.917
2500.000000	-0.907
2540.000000	-0.920
2580.000000	-0.934
2620.000000	-0.936
2650.000000	-0.926
2690.000000	-0.916
2720.000000	-0.920
2760.000000	-0.924
2800.000000	-0.943
2850.000000	-0.971
2900.000000	-0.972
2950.000000	-0.967
3000.000000	-0.977
3040.000000	-0.978
3070.000000	-0.980
3110.000000	-0.990
3150.000000	-0.994
3200.000000	-0.983
3250.000000	-0.985
3300.000000	-0.985
3350.000000	-0.988
3400.000000	-1.000
3450.000000	-1.005
3500.000000	-0.981
3550.000000	-0.941
3600.000000	-0.940
3650.000000	-0.937
3700.000000	-0.913
3750.000000	-0.886
3820.000000	-0.824
3870.000000	-0.774
3950.000000	-0.701
4000.000000	-0.654
4060.000000	-0.593
4120.000000	-0.541
4180.000000	-0.496
4250.000000	-0.461
4310.000000	-0.423
4370.000000	-0.378
4440.000000	-0.314
4500.000000	-0.252
4550.000000	-0.214
4620.000000	-0.183
4680.000000	-0.155
4750.000000	-0.113
4820.000000	-0.081
4870.000000	-0.076
4940.000000	-0.074
5000.000000	-0.067
5080.000000	-0.074
5150.000000	-0.098
5220.000000	-0.114
5300.000000	-0.129
5380.000000	-0.188
5450.000000	-0.249
5520.000000	-0.308
5600.000000	-0.393
5700.000000	-0.506
5800.000000	-0.594
5900.000000	-0.650
6000.000000	-0.728
6080.000000	-0.779
6150.000000	-0.772
6220.000000	-0.717
6300.000000	-0.602
6400.000000	-0.401
6500.000000	-0.164
6600.000000	0.050
6700.000000	0.220
6800.000000	0.416
6900.000000	0.670
7000.000000	0.963
