* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\AutoEq\compensation\harman_in-ear_2017-2.csv
* Format: Comma/Tab/Space delimited data
* Dated: 18 Dec, 2021 1:17:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\AutoEq\compensation\harman_in-ear_2017-2.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_in-ear_2017-2
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	9.190
20.299999	9.190
20.600000	9.190
20.900000	9.190
21.200001	9.190
21.400000	9.190
21.799999	9.190
22.000000	9.190
22.400000	9.190
22.700001	9.190
23.000000	9.190
23.299999	9.190
23.600000	9.190
24.000000	9.190
24.299999	9.190
24.700001	9.190
25.000000	9.190
25.400000	9.190
25.799999	9.190
26.200001	9.190
26.500000	9.190
26.900000	9.190
27.200001	9.190
27.600000	9.190
28.000000	9.190
28.500000	9.190
29.000000	9.190
29.500000	9.190
30.000000	9.190
30.400000	9.190
30.700001	9.190
31.100000	9.190
31.500000	9.190
32.000000	9.190
32.500000	9.190
33.000000	9.190
33.500000	9.190
34.000000	9.190
34.500000	9.190
35.000000	9.190
35.500000	9.190
36.000000	9.190
36.500000	9.190
37.000000	9.190
37.500000	9.190
38.200001	9.190
38.700001	9.190
39.500000	9.190
40.000000	9.191
40.599998	9.168
41.200001	9.154
41.799999	9.138
42.500000	9.112
43.099998	9.100
43.700001	9.095
44.400002	9.090
45.000000	9.090
45.500000	9.091
46.200001	9.077
46.799999	9.052
47.500000	9.012
48.200001	8.968
48.700001	8.936
49.400002	8.902
50.000000	8.868
50.799999	8.820
51.500000	8.778
52.200001	8.737
53.000000	8.701
53.799999	8.675
54.500000	8.655
55.200001	8.640
56.000000	8.621
57.000000	8.583
58.000000	8.519
59.000000	8.441
60.000000	8.374
60.799999	8.313
61.500000	8.255
62.200001	8.189
63.000000	8.122
64.000000	8.018
65.000000	7.934
66.000000	7.841
67.000000	7.730
68.000000	7.621
69.000000	7.518
70.000000	7.417
71.000000	7.314
72.000000	7.208
73.000000	7.111
74.000000	7.016
75.000000	6.922
76.199997	6.777
77.500000	6.607
78.800003	6.439
80.000000	6.287
81.199997	6.146
82.500000	6.006
83.800003	5.871
85.000000	5.747
86.199997	5.627
87.500000	5.489
88.500000	5.373
90.000000	5.204
91.199997	5.071
92.500000	4.929
93.800003	4.805
95.000000	4.697
96.199997	4.583
97.500000	4.474
98.800003	4.359
100.000000	4.229
101.500000	4.049
103.000000	3.857
104.400002	3.680
106.000000	3.481
107.500000	3.308
109.000000	3.156
110.599998	2.985
112.000000	2.843
113.800003	2.659
115.000000	2.543
117.199997	2.315
118.000000	2.238
120.599998	1.992
122.000000	1.859
124.099998	1.686
125.000000	1.613
126.500000	1.493
128.000000	1.369
131.500000	1.106
132.000000	1.072
134.000000	0.935
136.000000	0.808
138.000000	0.682
140.000000	0.559
143.000000	0.378
145.000000	0.262
147.500000	0.107
150.000000	-0.035
152.500000	-0.174
155.000000	-0.313
157.500000	-0.452
160.000000	-0.588
162.500000	-0.715
165.000000	-0.803
167.500000	-0.884
170.000000	-0.975
172.500000	-1.062
175.000000	-1.150
177.500000	-1.249
180.000000	-1.347
182.500000	-1.455
185.000000	-1.551
187.500000	-1.626
190.000000	-1.690
192.500000	-1.742
195.000000	-1.802
197.500000	-1.846
200.000000	-1.908
