* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\AutoEq\compensation\harman_in-ear_2017-1.csv
* Format: Comma/Tab/Space delimited data
* Dated: 18 Dec, 2021 1:17:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\AutoEq\compensation\harman_in-ear_2017-1.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_in-ear_2017-1
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1575.000000	2.991
1600.000000	3.149
1625.000000	3.305
1650.000000	3.458
1675.000000	3.609
1700.000000	3.758
1725.000000	3.904
1750.000000	4.059
1775.000000	4.247
1800.000000	4.429
1825.000000	4.604
1850.000000	4.777
1875.000000	4.953
1900.000000	5.126
1925.000000	5.296
1950.000000	5.454
1975.000000	5.621
2000.000000	5.792
2030.000000	6.042
2060.000000	6.293
2090.000000	6.543
2120.000000	6.795
2140.000000	6.949
2180.000000	7.246
2200.000000	7.393
2240.000000	7.669
2270.000000	7.882
2300.000000	8.082
2330.000000	8.251
2360.000000	8.418
2400.000000	8.638
2430.000000	8.797
2470.000000	8.993
2500.000000	9.124
2540.000000	9.283
2580.000000	9.440
2620.000000	9.595
2650.000000	9.696
2690.000000	9.786
2720.000000	9.853
2760.000000	9.931
2800.000000	10.018
2850.000000	10.106
2900.000000	10.187
2950.000000	10.255
3000.000000	10.334
3040.000000	10.378
3070.000000	10.373
3110.000000	10.348
3150.000000	10.330
3200.000000	10.310
3250.000000	10.290
3300.000000	10.234
3350.000000	10.168
3400.000000	10.104
3450.000000	10.046
3500.000000	9.977
3550.000000	9.891
3600.000000	9.815
3650.000000	9.733
3700.000000	9.658
3750.000000	9.581
3820.000000	9.451
3870.000000	9.360
3950.000000	9.207
4000.000000	9.128
4060.000000	9.012
4120.000000	8.909
4180.000000	8.808
4250.000000	8.685
4310.000000	8.592
4370.000000	8.492
4440.000000	8.364
4500.000000	8.279
4550.000000	8.201
4620.000000	8.093
4680.000000	8.007
4750.000000	7.926
4820.000000	7.840
4870.000000	7.785
4940.000000	7.704
5000.000000	7.663
5080.000000	7.615
5150.000000	7.573
5220.000000	7.543
5300.000000	7.497
5380.000000	7.464
5450.000000	7.444
5520.000000	7.431
5600.000000	7.407
5700.000000	7.380
5800.000000	7.354
5900.000000	7.335
6000.000000	7.308
6080.000000	7.289
6150.000000	7.273
6220.000000	7.253
6300.000000	7.239
6400.000000	7.216
6500.000000	7.196
6600.000000	7.149
6700.000000	7.087
6800.000000	7.028
6900.000000	6.959
7000.000000	6.902
7100.000000	6.843
7200.000000	6.777
7300.000000	6.723
7400.000000	6.657
7500.000000	6.603
7620.000000	6.567
7750.000000	6.542
7880.000000	6.517
8000.000000	6.501
8120.000000	6.345
8250.000000	5.955
8380.000000	5.579
8500.000000	5.235
8620.000000	4.869
8750.000000	3.829
8850.000000	2.800
9000.000000	1.286
9120.000000	0.085
9250.000000	-1.173
9380.000000	-1.800
9500.000000	-2.139
9620.000000	-2.480
9750.000000	-2.854
9880.000000	-3.213
10000.000000	-3.457
10150.000000	-3.616
10300.000000	-3.763
10440.000000	-3.899
10600.000000	-4.042
10750.000000	-4.175
10900.000000	-4.290
11060.000000	-4.422
11200.000000	-4.527
11380.000000	-4.668
11500.000000	-4.722
11720.000000	-4.750
11800.000000	-4.761
12060.000000	-4.794
12200.000000	-4.810
12410.000000	-4.845
12500.000000	-4.860
12650.000000	-4.896
12800.000000	-4.931
13150.000000	-5.329
13200.000000	-5.892
13400.000000	-9.499
13600.000000	-13.186
13800.000000	-16.804
14000.000000	-20.414
14300.000000	-23.202
14500.000000	-24.077
14750.000000	-25.176
15000.000000	-26.279
15250.000000	-26.842
15500.000000	-26.877
15750.000000	-26.926
16000.000000	-26.974
16250.000000	-27.098
16500.000000	-27.590
16750.000000	-28.109
17000.000000	-28.622
17250.000000	-29.144
17500.000000	-29.210
17750.000000	-28.723
18000.000000	-28.246
18250.000000	-27.764
18500.000000	-27.283
18750.000000	-27.017
19000.000000	-27.008
19250.000000	-27.010
19500.000000	-27.010
19750.000000	-27.010
