* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\Documents\me to crin(rev).txt
* Format: Comma/Tab/Space delimited data
* Dated: 12 Apr, 2022 11:51:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\Documents\me to crin(rev).txt Format: Comma/Tab/Space delimited data 408 values loaded, 20 Hz to 7,000 Hz
* Measurement: me to crin(rev)
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1340.000000	-1.187
1360.000000	-1.214
1380.000000	-1.232
1400.000000	-1.268
1430.000000	-1.256
1450.000000	-1.273
1475.000000	-1.294
1500.000000	-1.304
1525.000000	-1.299
1550.000000	-1.316
1575.000000	-1.310
1600.000000	-1.293
1625.000000	-1.328
1650.000000	-1.327
1675.000000	-1.336
1700.000000	-1.344
1725.000000	-1.343
1750.000000	-1.336
1775.000000	-1.348
1800.000000	-1.316
1825.000000	-1.314
1850.000000	-1.344
1875.000000	-1.323
1900.000000	-1.319
1925.000000	-1.304
1950.000000	-1.306
1975.000000	-1.299
2000.000000	-1.314
2030.000000	-1.307
2060.000000	-1.283
2090.000000	-1.289
2120.000000	-1.262
2140.000000	-1.254
2180.000000	-1.239
2200.000000	-1.240
2240.000000	-1.231
2270.000000	-1.191
2300.000000	-1.200
2330.000000	-1.216
2360.000000	-1.188
2400.000000	-1.199
2430.000000	-1.180
2470.000000	-1.196
2500.000000	-1.157
2540.000000	-1.170
2580.000000	-1.159
2620.000000	-1.150
2650.000000	-1.138
2690.000000	-1.101
2720.000000	-1.110
2760.000000	-1.069
2800.000000	-1.065
2850.000000	-1.041
2900.000000	-1.015
2950.000000	-0.981
3000.000000	-0.962
3040.000000	-0.933
3070.000000	-0.918
3110.000000	-0.900
3150.000000	-0.884
3200.000000	-0.854
3250.000000	-0.851
3300.000000	-0.845
3350.000000	-0.835
3400.000000	-0.832
3450.000000	-0.825
3500.000000	-0.808
3550.000000	-0.762
3600.000000	-0.761
3650.000000	-0.749
3700.000000	-0.710
3750.000000	-0.695
3820.000000	-0.644
3870.000000	-0.618
3950.000000	-0.583
4000.000000	-0.558
4060.000000	-0.526
4120.000000	-0.510
4180.000000	-0.488
4250.000000	-0.489
4310.000000	-0.460
4370.000000	-0.425
4440.000000	-0.365
4500.000000	-0.297
4550.000000	-0.254
4620.000000	-0.243
4680.000000	-0.232
4750.000000	-0.217
4820.000000	-0.233
4870.000000	-0.240
4940.000000	-0.224
5000.000000	-0.198
5080.000000	-0.176
5150.000000	-0.173
5220.000000	-0.187
5300.000000	-0.187
5380.000000	-0.253
5450.000000	-0.307
5520.000000	-0.363
5600.000000	-0.440
5700.000000	-0.532
5800.000000	-0.593
5900.000000	-0.617
6000.000000	-0.662
6080.000000	-0.684
6150.000000	-0.677
6220.000000	-0.636
6300.000000	-0.565
6400.000000	-0.454
6500.000000	-0.324
6600.000000	-0.205
6700.000000	-0.134
6800.000000	-0.041
6900.000000	0.103
7000.000000	0.276
