* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\AutoEq\compensation\harman_in-ear_2019v2.csv
* Format: Comma/Tab/Space delimited data
* Dated: 18 Dec, 2021 1:17:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\AutoEq\compensation\harman_in-ear_2019v2.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_in-ear_2019v2
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
1575.000000	2.993
1600.000000	3.128
1625.000000	3.285
1650.000000	3.449
1675.000000	3.599
1700.000000	3.752
1725.000000	3.923
1750.000000	4.086
1775.000000	4.258
1800.000000	4.418
1825.000000	4.594
1850.000000	4.767
1875.000000	4.943
1900.000000	5.116
1925.000000	5.287
1950.000000	5.465
1975.000000	5.637
2000.000000	5.807
2030.000000	5.988
2060.000000	6.156
2090.000000	6.328
2120.000000	6.500
2140.000000	6.614
2180.000000	6.837
2200.000000	6.947
2240.000000	7.162
2270.000000	7.315
2300.000000	7.465
2330.000000	7.620
2360.000000	7.767
2400.000000	7.923
2430.000000	8.045
2470.000000	8.192
2500.000000	8.310
2540.000000	8.428
2580.000000	8.552
2620.000000	8.676
2650.000000	8.756
2690.000000	8.846
2720.000000	8.913
2760.000000	9.001
2800.000000	9.083
2850.000000	9.142
2900.000000	9.205
2950.000000	9.256
3000.000000	9.308
3040.000000	9.338
3070.000000	9.358
3110.000000	9.394
3150.000000	9.416
3200.000000	9.420
3250.000000	9.414
3300.000000	9.410
3350.000000	9.404
3400.000000	9.387
3450.000000	9.357
3500.000000	9.339
3550.000000	9.306
3600.000000	9.264
3650.000000	9.219
3700.000000	9.170
3750.000000	9.130
3820.000000	9.064
3870.000000	9.014
3950.000000	8.933
4000.000000	8.892
4060.000000	8.821
4120.000000	8.752
4180.000000	8.685
4250.000000	8.612
4310.000000	8.541
4370.000000	8.472
4440.000000	8.392
4500.000000	8.322
4550.000000	8.259
4620.000000	8.173
4680.000000	8.105
4750.000000	8.015
4820.000000	7.937
4870.000000	7.875
4940.000000	7.789
5000.000000	7.716
5080.000000	7.646
5150.000000	7.576
5220.000000	7.509
5300.000000	7.433
5380.000000	7.344
5450.000000	7.272
5520.000000	7.200
5600.000000	7.122
5700.000000	7.036
5800.000000	6.949
5900.000000	6.863
6000.000000	6.776
6080.000000	6.670
6150.000000	6.573
6220.000000	6.483
6300.000000	6.380
6400.000000	6.254
6500.000000	6.118
6600.000000	5.996
6700.000000	5.871
6800.000000	5.712
6900.000000	5.553
7000.000000	5.402
7100.000000	5.243
7200.000000	5.054
7300.000000	4.860
7400.000000	4.668
7500.000000	4.479
7620.000000	4.258
7750.000000	4.028
7880.000000	3.800
8000.000000	3.589
8120.000000	3.343
8250.000000	3.082
8380.000000	2.815
8500.000000	2.579
8620.000000	2.315
8750.000000	2.033
8850.000000	1.816
9000.000000	1.495
9120.000000	1.227
9250.000000	0.928
9380.000000	0.633
9500.000000	0.366
9620.000000	0.088
9750.000000	-0.214
9880.000000	-0.506
10000.000000	-0.775
10150.000000	-1.082
10300.000000	-1.376
10440.000000	-1.647
10600.000000	-1.952
10750.000000	-2.244
10900.000000	-2.536
11060.000000	-2.844
11200.000000	-3.110
11380.000000	-3.461
11500.000000	-3.693
11720.000000	-4.115
11800.000000	-4.257
12060.000000	-4.683
12200.000000	-4.903
12410.000000	-5.229
12500.000000	-5.368
12650.000000	-5.605
12800.000000	-5.834
13150.000000	-6.365
13200.000000	-6.439
13400.000000	-6.715
13600.000000	-6.987
13800.000000	-7.258
14000.000000	-7.518
14300.000000	-7.886
14500.000000	-8.123
14750.000000	-8.415
15000.000000	-8.712
15250.000000	-9.073
15500.000000	-9.443
15750.000000	-9.806
16000.000000	-10.165
16250.000000	-10.650
16500.000000	-11.125
16750.000000	-11.603
17000.000000	-12.082
17250.000000	-12.692
17500.000000	-13.314
17750.000000	-13.915
18000.000000	-14.541
18250.000000	-15.270
18500.000000	-16.018
18750.000000	-16.754
19000.000000	-17.484
19250.000000	-18.313
19500.000000	-19.136
19750.000000	-19.942
