* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:28:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 Green R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.541154 61.774 3.8117
1.552322 61.975 3.6559
1.563571 62.174 3.4881
1.574901 62.370 3.3085
1.586314 62.565 3.1176
1.597809 62.757 2.9159
1.609387 62.948 2.7039
1.621049 63.137 2.4821
1.632796 63.324 2.2510
1.644628 63.510 2.0113
1.656546 63.695 1.7635
1.668550 63.878 1.5082
1.680641 64.059 1.2463
1.692819 64.240 0.9783
1.705086 64.420 0.7050
1.717442 64.599 0.4272
1.729887 64.778 0.1457
1.742423 64.956 -0.1387
1.755049 65.134 -0.4251
1.767767 65.312 -0.7125
1.780577 65.490 -1.0000
1.793480 65.668 -1.2865
1.806476 65.847 -1.5710
1.819566 66.027 -1.8525
1.832752 66.208 -2.1298
1.846033 66.388 -2.4095
1.859410 66.566 -2.6960
1.872884 66.743 -2.9891
1.886456 66.917 -3.2886
1.900126 67.091 -3.5945
1.913895 67.262 -3.9065
1.927764 67.432 -4.2245
1.941733 67.601 -4.5482
1.955804 67.768 -4.8774
1.969976 67.933 -5.2119
1.984251 68.098 -5.5515
1.998630 68.261 -5.8960
2.013113 68.423 -6.2450
2.027701 68.583 -6.5983
2.042394 68.743 -6.9556
2.057194 68.902 -7.3167
2.072102 69.061 -7.6811
2.087117 69.218 -8.0486
2.102241 69.375 -8.4189
2.117475 69.531 -8.7915
2.132819 69.687 -9.1661
2.148274 69.843 -9.5422
2.163841 69.999 -9.9196
2.179522 70.154 -10.2977
2.195315 70.310 -10.6761
2.211223 70.465 -11.0561
2.227247 70.619 -11.4405
2.243386 70.772 -11.8290
2.259643 70.922 -12.2216
2.276017 71.072 -12.6182
2.292510 71.220 -13.0186
2.309123 71.367 -13.4226
2.325855 71.512 -13.8301
2.342710 71.657 -14.2409
2.359686 71.800 -14.6548
2.376785 71.942 -15.0717
2.394008 72.083 -15.4914
2.411356 72.223 -15.9137
2.428830 72.362 -16.3383
2.446430 72.501 -16.7650
2.464158 72.639 -17.1936
2.482014 72.776 -17.6239
2.500000 72.913 -18.0555
2.518116 73.049 -18.4884
2.536363 73.185 -18.9220
2.554743 73.321 -19.3563
2.573256 73.456 -19.7912
2.591902 73.591 -20.2283
2.610684 73.723 -20.6679
2.629603 73.855 -21.1099
2.648658 73.985 -21.5540
2.667851 74.114 -22.0003
2.687183 74.242 -22.4486
2.706656 74.368 -22.8988
2.726269 74.494 -23.3508
2.746025 74.618 -23.8043
2.765924 74.742 -24.2593
2.785967 74.864 -24.7156
2.806155 74.986 -25.1731
2.826490 75.107 -25.6316
2.846972 75.228 -26.0910
2.867602 75.348 -26.5510
2.888382 75.467 -27.0114
2.909312 75.587 -27.4722
2.930394 75.706 -27.9331
2.951629 75.824 -28.3944
2.973018 75.941 -28.8566
2.994561 76.057 -29.3195
3.016261 76.171 -29.7832
3.038118 76.284 -30.2475
3.060134 76.397 -30.7126
3.082309 76.508 -31.1782
3.104645 76.618 -31.6444
3.127142 76.727 -32.1111
3.149803 76.836 -32.5783
3.172627 76.944 -33.0458
3.195618 77.051 -33.5137
3.218774 77.158 -33.9819
3.242099 77.264 -34.4504
3.265593 77.370 -34.9190
3.289256 77.476 -35.3878
3.313092 77.581 -35.8564
3.337100 77.685 -36.3247
3.361282 77.788 -36.7926
3.385639 77.890 -37.2602
3.410173 77.991 -37.7276
3.434884 78.092 -38.1948
3.459775 78.191 -38.6619
3.484846 78.290 -39.1290
3.510098 78.387 -39.5962
3.535534 78.485 -40.0636
3.561154 78.581 -40.5312
3.586959 78.678 -40.9992
3.612952 78.773 -41.4676
3.639133 78.869 -41.9366
3.665504 78.965 -42.4063
3.692065 79.059 -42.8758
3.718820 79.153 -43.3445
3.745768 79.246 -43.8127
3.772911 79.339 -44.2805
3.800251 79.430 -44.7481
3.827789 79.521 -45.2155
3.855527 79.611 -45.6832
3.883466 79.701 -46.1511
3.911607 79.790 -46.6195
3.939952 79.879 -47.0887
3.968503 79.967 -47.5589
3.997260 80.055 -48.0302
4.026226 80.142 -48.5030
4.055401 80.230 -48.9766
4.084789 80.316 -49.4502
4.114388 80.402 -49.9237
4.144203 80.487 -50.3975
4.174234 80.572 -50.8716
4.204482 80.656 -51.3463
4.234950 80.739 -51.8216
4.265638 80.822 -52.2978
4.296548 80.904 -52.7751
4.327683 80.986 -53.2537
4.359043 81.067 -53.7337
4.390630 81.148 -54.2155
4.422447 81.228 -54.6987
4.454494 81.308 -55.1828
4.486773 81.387 -55.6678
4.519286 81.465 -56.1536
4.552034 81.543 -56.6404
4.585020 81.620 -57.1281
4.618245 81.696 -57.6167
4.651711 81.772 -58.1064
4.685419 81.848 -58.5971
4.719372 81.922 -59.0889
4.753570 81.997 -59.5818
4.788016 82.070 -60.0759
4.822712 82.143 -60.5712
4.857660 82.215 -61.0674
4.892860 82.286 -61.5646
4.928316 82.357 -62.0626
4.964029 82.427 -62.5611
5.000000 82.496 -63.0602
5.036232 82.564 -63.5596
5.072727 82.632 -64.0592
5.109486 82.700 -64.5587
5.146511 82.767 -65.0583
5.183805 82.833 -65.5581
5.221369 82.898 -66.0583
5.259205 82.963 -66.5585
5.297316 83.026 -67.0587
5.335702 83.089 -67.5586
5.374367 83.152 -68.0582
5.413311 83.214 -68.5572
5.452538 83.275 -69.0554
5.492050 83.336 -69.5527
5.531847 83.397 -70.0488
5.571934 83.457 -70.5439
5.612310 83.516 -71.0380
5.652979 83.574 -71.5311
5.693943 83.632 -72.0232
5.735204 83.690 -72.5144
5.776763 83.747 -73.0048
5.818624 83.804 -73.4943
5.860788 83.861 -73.9830
5.903258 83.917 -74.4702
5.946035 83.974 -74.9555
5.989123 84.029 -75.4391
6.032523 84.084 -75.9216
6.076237 84.139 -76.4031
6.120268 84.194 -76.8841
6.164618 84.249 -77.3651
6.209289 84.303 -77.8463
6.254284 84.358 -78.3278
6.299605 84.412 -78.8078
6.345255 84.467 -79.2866
6.391235 84.521 -79.7649
6.437549 84.575 -80.2431
6.484198 84.629 -80.7218
6.531185 84.682 -81.2016
6.578513 84.736 -81.6831
6.626183 84.790 -82.1663
6.674199 84.844 -82.6497
6.722563 84.898 -83.1335
6.771278 84.951 -83.6182
6.820345 85.005 -84.1041
6.869768 85.058 -84.5916
6.919549 85.111 -85.0811
6.969691 85.164 -85.5729
7.020196 85.217 -86.0669
7.071068 85.269 -86.5625
7.122308 85.322 -87.0599
7.173919 85.374 -87.5588
7.225904 85.426 -88.0593
7.278266 85.477 -88.5611
7.331007 85.528 -89.0643
7.384131 85.579 -89.5694
7.437639 85.629 -90.0763
7.491535 85.679 -90.5847
7.545822 85.728 -91.0941
7.600502 85.777 -91.6039
7.655579 85.826 -92.1137
7.711054 85.874 -92.6230
7.766932 85.922 -93.1328
7.823214 85.969 -93.6430
7.879904 86.015 -94.1532
7.937005 86.061 -94.6627
7.994520 86.107 -95.1711
8.052452 86.153 -95.6777
8.110803 86.198 -96.1825
8.169578 86.242 -96.6861
8.228777 86.286 -97.1882
8.288406 86.330 -97.6886
8.348468 86.373 -98.1871
8.408964 86.416 -98.6835
8.469899 86.459 -99.1775
8.531276 86.502 -99.6689
8.593097 86.545 -100.1580
8.655366 86.587 -100.6449
8.718086 86.629 -101.1299
8.781260 86.671 -101.6132
8.844893 86.713 -102.0946
8.908987 86.755 -102.5733
8.973545 86.796 -103.0498
9.038571 86.838 -103.5244
9.104069 86.879 -103.9976
9.170040 86.921 -104.4698
9.236490 86.962 -104.9404
9.303422 87.003 -105.4091
9.370838 87.044 -105.8760
9.438744 87.085 -106.3415
9.507140 87.125 -106.8058
9.576033 87.166 -107.2689
9.645425 87.206 -107.7304
9.715320 87.246 -108.1903
9.785721 87.285 -108.6485
9.856632 87.325 -109.1048
9.928058 87.364 -109.5593
10.000000 87.402 -110.0119
10.072464 87.441 -110.4624
10.145453 87.479 -110.9107
10.218971 87.517 -111.3568
10.293022 87.554 -111.8004
10.367610 87.592 -112.2413
10.442738 87.629 -112.6796
10.518411 87.665 -113.1154
10.594631 87.702 -113.5491
10.671404 87.738 -113.9803
10.748734 87.774 -114.4087
10.826623 87.809 -114.8344
10.905077 87.844 -115.2581
10.984100 87.879 -115.6803
11.063695 87.914 -116.1005
11.143867 87.949 -116.5185
11.224621 87.983 -116.9345
11.305959 88.017 -117.3491
11.387886 88.050 -117.7627
11.470407 88.083 -118.1748
11.553527 88.116 -118.5853
11.637249 88.148 -118.9943
11.721577 88.180 -119.4018
11.806517 88.211 -119.8078
11.892071 88.242 -120.2123
11.978246 88.272 -120.6149
12.065045 88.301 -121.0151
12.152473 88.330 -121.4130
12.240536 88.358 -121.8085
12.329235 88.386 -122.2014
12.418578 88.413 -122.5915
12.508568 88.440 -122.9784
12.599211 88.466 -123.3620
12.690510 88.491 -123.7425
12.782471 88.517 -124.1204
12.875097 88.542 -124.4955
12.968395 88.566 -124.8672
13.062370 88.591 -125.2362
13.157025 88.615 -125.6036
13.252366 88.639 -125.9696
13.348398 88.662 -126.3334
13.445127 88.686 -126.6958
13.542556 88.709 -127.0581
13.640691 88.732 -127.4203
13.739536 88.755 -127.7819
13.839099 88.777 -128.1434
13.939383 88.799 -128.5055
14.040393 88.821 -128.8680
14.142136 88.842 -129.2308
14.244616 88.863 -129.5936
14.347837 88.884 -129.9563
14.451808 88.904 -130.3193
14.556532 88.923 -130.6819
14.662014 88.942 -131.0438
14.768262 88.960 -131.4050
14.875278 88.978 -131.7654
14.983070 88.996 -132.1249
15.091644 89.014 -132.4835
15.201005 89.031 -132.8409
15.311157 89.047 -133.1977
15.422109 89.064 -133.5541
15.533863 89.080 -133.9099
15.646428 89.096 -134.2653
15.759809 89.112 -134.6207
15.874010 89.128 -134.9763
15.989040 89.143 -135.3318
16.104904 89.158 -135.6869
16.221605 89.173 -136.0420
16.339155 89.187 -136.3967
16.457554 89.201 -136.7501
16.576813 89.214 -137.1017
16.696936 89.227 -137.4519
16.817928 89.240 -137.7994
16.939798 89.253 -138.1436
17.062551 89.265 -138.4845
17.186193 89.278 -138.8223
17.310732 89.290 -139.1563
17.436172 89.303 -139.4866
17.562521 89.315 -139.8144
17.689787 89.328 -140.1398
17.817974 89.342 -140.4628
17.947090 89.356 -140.7852
18.077143 89.370 -141.1074
18.208138 89.384 -141.4292
18.340080 89.399 -141.7521
18.472980 89.413 -142.0762
18.606844 89.428 -142.4010
18.741676 89.442 -142.7263
18.877487 89.456 -143.0527
19.014280 89.469 -143.3784
19.152065 89.483 -143.7028
19.290850 89.495 -144.0260
19.430639 89.507 -144.3463
19.571442 89.519 -144.6633
19.713264 89.530 -144.9772
19.856115 89.541 -145.2872
20.000000 89.552 -145.5933
20.144928 89.563 -145.8965
20.290907 89.574 -146.1967
20.437943 89.585 -146.4944
20.586044 89.595 -146.7910
20.735220 89.606 -147.0860
20.885475 89.616 -147.3802
21.036821 89.626 -147.6741
21.189262 89.636 -147.9670
21.342808 89.645 -148.2588
21.497467 89.653 -148.5493
21.653246 89.661 -148.8376
21.810154 89.669 -149.1235
21.968201 89.676 -149.4066
22.127390 89.682 -149.6864
22.287735 89.689 -149.9633
22.449242 89.695 -150.2376
22.611917 89.701 -150.5092
22.775772 89.707 -150.7797
22.940815 89.712 -151.0487
23.107054 89.718 -151.3174
23.274498 89.723 -151.5860
23.443153 89.729 -151.8544
23.613033 89.733 -152.1229
23.784142 89.738 -152.3908
23.956491 89.742 -152.6577
24.130091 89.746 -152.9235
24.304947 89.749 -153.1873
24.481071 89.753 -153.4493
24.658470 89.756 -153.7095
24.837156 89.759 -153.9681
25.017136 89.763 -154.2260
25.198421 89.766 -154.4832
25.381020 89.770 -154.7410
25.564941 89.773 -154.9991
25.750195 89.777 -155.2580
25.936790 89.780 -155.5173
26.124741 89.783 -155.7764
26.314051 89.786 -156.0348
26.504732 89.789 -156.2911
26.696796 89.791 -156.5452
26.890253 89.794 -156.7961
27.085112 89.797 -157.0443
27.281382 89.800 -157.2898
27.479073 89.803 -157.5338
27.678198 89.806 -157.7771
27.878765 89.810 -158.0212
28.080786 89.814 -158.2667
28.284271 89.818 -158.5141
28.489231 89.822 -158.7637
28.695675 89.825 -159.0140
28.903616 89.828 -159.2645
29.113064 89.830 -159.5127
29.324028 89.831 -159.7575
29.536524 89.831 -159.9971
29.750557 89.832 -160.2311
29.966141 89.832 -160.4591
30.183289 89.832 -160.6829
30.402010 89.833 -160.9037
30.622314 89.835 -161.1235
30.844217 89.836 -161.3447
31.067726 89.838 -161.5679
31.292856 89.839 -161.7940
31.519617 89.839 -162.0217
31.748020 89.839 -162.2498
31.978081 89.838 -162.4753
32.209808 89.836 -162.6971
32.443211 89.833 -162.9131
32.678310 89.831 -163.1239
32.915108 89.829 -163.3297
33.153625 89.827 -163.5334
33.393871 89.826 -163.7368
33.635857 89.826 -163.9418
33.879597 89.825 -164.1501
34.125103 89.825 -164.3616
34.372387 89.824 -164.5760
34.621464 89.823 -164.7917
34.872345 89.821 -165.0078
35.125042 89.819 -165.2229
35.379574 89.816 -165.4362
35.635948 89.813 -165.6471
35.894180 89.810 -165.8549
36.154285 89.806 -166.0588
36.416275 89.803 -166.2584
36.680161 89.800 -166.4537
36.945961 89.797 -166.6453
37.213688 89.795 -166.8353
37.483353 89.794 -167.0263
37.754974 89.793 -167.2198
38.028561 89.791 -167.4175
38.304131 89.790 -167.6185
38.581699 89.788 -167.8206
38.861279 89.784 -168.0213
39.142883 89.781 -168.2180
39.426529 89.776 -168.4096
39.712231 89.772 -168.5973
40.000000 89.769 -168.7830
40.289856 89.765 -168.9688
40.581814 89.761 -169.1562
40.875885 89.757 -169.3445
41.172089 89.752 -169.5320
41.470440 89.747 -169.7165
41.770950 89.741 -169.8969
42.073643 89.736 -170.0735
42.378525 89.731 -170.2488
42.685616 89.726 -170.4250
42.994934 89.721 -170.6035
43.306492 89.716 -170.7834
43.620308 89.711 -170.9630
43.936401 89.705 -171.1392
44.254780 89.699 -171.3110
44.575470 89.694 -171.4800
44.898483 89.689 -171.6497
45.223835 89.685 -171.8234
45.551544 89.680 -172.0020
45.881630 89.675 -172.1829
46.214108 89.668 -172.3611
46.548996 89.661 -172.5321
46.886307 89.655 -172.6956
47.226067 89.649 -172.8564
47.568283 89.643 -173.0211
47.912983 89.638 -173.1916
48.260181 89.630 -173.3622
48.609894 89.621 -173.5228
48.962143 89.612 -173.6666
49.316940 89.606 -173.7987
49.674313 89.602 -173.9360
50.034271 89.600 -174.0964
50.396843 89.595 -174.2828
50.762039 89.584 -174.4754
51.129883 89.569 -174.6404
51.500389 89.552 -174.7534
51.873581 89.541 -174.8231
52.249481 89.541 -174.8925
52.628101 89.548 -175.0137
53.009464 89.554 -175.2099
53.393593 89.551 -175.4558
53.780506 89.536 -175.6930
54.170223 89.516 -175.8711
54.562763 89.498 -175.9833
54.958145 89.488 -176.0692
55.356396 89.486 -176.1809
55.757530 89.486 -176.3440
56.161572 89.480 -176.5410
56.568542 89.468 -176.7328
56.978462 89.453 -176.8923
57.391350 89.440 -177.0220
57.807232 89.430 -177.1428
58.226128 89.422 -177.2706
58.648056 89.414 -177.4073
59.073048 89.406 -177.5485
59.501114 89.398 -177.6942
59.932281 89.390 -177.8487
60.366577 89.379 -178.0100
60.804020 89.366 -178.1653
61.244629 89.351 -178.3006
61.688435 89.337 -178.4128
62.135452 89.326 -178.5143
62.585712 89.318 -178.6238
63.039234 89.312 -178.7538
63.496040 89.305 -178.9041
63.956161 89.295 -179.0644
64.419617 89.282 -179.2201
64.886421 89.268 -179.3606
65.356621 89.253 -179.4838
65.830215 89.240 -179.5945
66.307251 89.229 -179.6989
66.787743 89.218 -179.8016
67.271713 89.210 -179.9086
67.759193 89.201 179.9736
68.250206 89.191 179.8476
68.744774 89.178 179.7282
69.242928 89.165 179.6281
69.744690 89.154 179.5381
70.250084 89.145 179.4346
70.759148 89.135 179.3110
71.271896 89.122 179.1875
71.788361 89.107 179.0815
72.308571 89.095 178.9804
72.832550 89.083 178.8636
73.360321 89.068 178.7411
73.891922 89.052 178.6381
74.427376 89.040 178.5475
74.966705 89.031 178.4325
75.509949 89.019 178.2853
76.057121 89.001 178.1483
76.608261 88.982 178.0558
77.163399 88.969 177.9832
77.722557 88.958 177.8911
78.285767 88.945 177.7891
78.853058 88.932 177.7078
79.424461 88.922 177.6330
80.000000 88.915 177.5230
80.579712 88.902 177.3849
81.163628 88.882 177.2705
81.751770 88.864 177.2013
82.344177 88.851 177.1421
82.940880 88.840 177.0544
83.541901 88.827 176.9455
84.147285 88.811 176.8412
84.757050 88.794 176.7503
85.371231 88.778 176.6667
85.989868 88.762 176.5872
86.612984 88.748 176.5108
87.240616 88.734 176.4303
87.872803 88.720 176.3417
88.509560 88.705 176.2556
89.150940 88.690 176.1802
89.796967 88.675 176.1055
90.447670 88.661 176.0234
91.103088 88.645 175.9465
91.763260 88.630 175.8745
92.428215 88.615 175.7888
93.097992 88.596 175.7059
93.772614 88.577 175.6617
94.452133 88.565 175.6235
95.136566 88.555 175.5330
95.825966 88.537 175.4300
96.520363 88.518 175.3715
97.219788 88.504 175.3152
97.924286 88.488 175.2294
98.633881 88.468 175.1729
99.348625 88.453 175.1454
100.068542 88.442 175.0767
100.793686 88.424 174.9952
101.524078 88.406 174.9508
102.259766 88.393 174.8884
103.000778 88.373 174.8083
103.747162 88.351 174.7813
104.498962 88.338 174.7625
105.256203 88.325 174.6963
106.018929 88.308 174.6317
106.787186 88.291 174.5794
107.561012 88.273 174.5258
108.340446 88.256 174.4867
109.125526 88.240 174.4398
109.916290 88.223 174.3926
110.712791 88.207 174.3561
111.515060 88.192 174.2934
112.323143 88.171 174.2504
113.137085 88.155 174.2347
113.956924 88.139 174.1857
114.782700 88.119 174.1582
115.614464 88.104 174.1451
116.452255 88.087 174.1030
117.296112 88.070 174.0870
118.146095 88.058 174.0363
119.002228 88.036 173.9536
119.864563 88.012 173.9457
120.733154 87.997 173.9393
121.608040 87.982 173.9008
122.489258 87.965 173.8741
123.376869 87.949 173.8384
124.270905 87.929 173.8229
125.171425 87.912 173.8176
126.078468 87.894 173.8023
126.992081 87.875 173.8090
127.912323 87.858 173.7918
128.839233 87.837 173.7744
129.772842 87.821 173.7752
130.713242 87.806 173.7150
131.660431 87.784 173.6742
132.614502 87.766 173.6648
133.575485 87.749 173.6508
134.543427 87.735 173.6547
135.518387 87.720 173.6269
136.500412 87.699 173.6368
137.489548 87.682 173.6469
138.485855 87.659 173.6619
139.489380 87.642 173.7060
140.500168 87.626 173.6837
141.518295 87.603 173.6788
142.543793 87.584 173.6927
143.576721 87.569 173.7041
144.617142 87.556 173.6959
145.665100 87.538 173.6718
146.720642 87.519 173.6973
147.783844 87.505 173.7155
148.854752 87.486 173.7116
149.933411 87.466 173.7467
151.019897 87.449 173.7573
152.114243 87.428 173.7860
153.216522 87.413 173.8248
154.326797 87.397 173.8191
155.445114 87.376 173.8722
156.571533 87.366 173.8926
157.706116 87.334 173.9402
158.848923 87.342 174.1028
160.000000 87.332 173.8742
161.159424 87.289 173.9579
162.327255 87.284 173.9631
163.503540 87.251 173.9854
164.688354 87.244 174.0663
165.881760 87.225 174.0425
167.083801 87.205 174.0802
168.294571 87.183 174.1176
169.514099 87.173 174.1898
170.742462 87.155 174.1412
171.979736 87.133 174.2465
173.225967 87.123 174.2447
174.481232 87.093 174.3091
175.745605 87.080 174.3732
177.019119 87.054 174.3849
178.301880 87.045 174.4094
179.593933 87.021 174.3730
180.895340 87.025 174.4324
182.206177 87.017 174.4420
183.526520 87.016 174.4291
184.856430 86.988 174.6001
186.195984 86.963 174.7172
187.545227 86.960 174.9706
188.904266 86.922 174.9011
190.273132 86.904 175.0365
191.651932 86.885 175.1671
193.040726 86.865 175.1320
194.439575 86.877 175.3393
195.848572 86.827 175.2311
197.267761 86.846 175.3813
198.697250 86.797 175.2602
200.137085 86.778 175.2423
201.587372 86.745 175.4162
203.048157 86.731 175.4230
204.519531 86.722 175.6396
206.001556 86.713 175.7058
207.494324 86.716 175.7182
208.997925 86.689 175.7128
210.512405 86.651 175.7642
212.037857 86.637 176.0183
213.574371 86.622 176.1541
215.122025 86.619 176.2317
216.680893 86.604 176.3267
218.251053 86.589 176.3416
219.832581 86.582 176.3949
221.425583 86.561 176.4265
223.030121 86.518 176.6233
224.646286 86.482 176.8384
226.274170 86.514 177.5899
227.913849 86.527 177.0988
229.565399 86.474 176.8766
231.228928 86.396 177.1581
232.904510 86.390 177.4756
234.592224 86.462 177.5791
236.292191 86.431 177.1285
238.004456 86.338 177.6286
239.729126 86.367 178.0575
241.466309 86.387 178.2581
243.216080 86.362 178.1256
244.978516 86.344 178.3827
246.753738 86.342 178.6274
248.541809 86.333 178.6801
250.342850 86.347 178.7979
252.156937 86.338 179.0031
253.984161 86.322 179.1895
255.824646 86.317 179.2390
257.678467 86.337 179.3965
259.545685 86.315 179.7015
261.426483 86.336 179.7866
263.320862 86.333 179.8693
265.229004 86.328 179.8304
267.150970 86.323 179.8639
269.086853 86.357 -179.8164
